order_id,order_date,customer_id,total_price
7324,27/11/2023,2160,955.86
8938,31/08/2024,8497,984.91
4238,05/12/2023,6295,649.18
10944,22/02/2024,2936,54.83
11075,14/08/2024,2994,320.24
13842,20/05/2024,5953,555.05
1126,17/11/2023,4825,308.21
8310,09/08/2024,7873,957.72
6084,23/08/2024,5627,934.52
3161,01/11/2024,2086,488.16
57,26/05/2024,975,388.08
11179,06/02/2024,7024,24.32
1860,30/09/2024,4276,42.33
9492,27/09/2024,4374,43.54
2853,29/03/2024,1888,44.45
51,16/05/2024,3177,735.84
11997,25/04/2024,5410,620.96
6792,21/05/2024,7971,812.89
9279,26/04/2024,995,241.51
5292,03/08/2024,1259,123.95
8357,05/11/2023,4733,206.41
14041,10/05/2024,7404,459.13
4657,25/07/2024,9938,423.73
100,11/01/2024,3089,111.23
1802,31/08/2024,9808,677.87
7789,03/12/2023,8797,465.42
3325,04/09/2024,4478,475.69
2843,26/12/2023,6169,432.37
11500,15/09/2024,7978,675.62
6897,12/07/2024,6618,516.94
12382,29/08/2024,830,758.96
9976,20/10/2024,4348,148.35
5957,30/12/2023,8681,693.67
8450,18/06/2024,3575,721.84
14945,14/06/2024,9522,954.23
6813,06/09/2024,4759,913.78
12604,23/10/2024,7420,507.4
1022,07/06/2024,7073,766.87
5606,22/06/2024,3811,314.02
14711,26/12/2023,275,394.39
9825,19/10/2024,3495,630.44
10666,11/03/2024,7865,386.69
14204,01/05/2024,5856,405.54
4433,01/08/2024,441,127.98
99,09/07/2024,7243,826.56
8827,04/10/2024,8235,422.47
1036,31/07/2024,544,854.47
12274,18/08/2024,2535,730.52
12288,05/12/2023,1688,612.09
4712,30/03/2024,1911,850.01
9791,10/09/2024,1203,867.92
1424,05/03/2024,4552,52.13
12572,24/12/2023,8606,762.91
8986,06/06/2024,7,354.92
13222,30/09/2024,57,871.23
3619,19/08/2024,389,54.56
9813,18/10/2024,6341,51.47
12770,06/06/2024,8537,456.7
13133,16/02/2024,6805,912.58
358,23/05/2024,2000,189.93
2244,19/05/2024,9513,654.15
8097,18/10/2024,5140,935.29
12011,26/12/2023,7178,836.12
1504,29/09/2024,9952,695.96
12747,14/06/2024,7160,274.48
8445,12/12/2023,9141,58.58
2111,10/11/2023,5048,463.7
4385,11/09/2024,4432,564.88
2233,19/11/2023,1341,366.11
3986,10/12/2023,9001,791.36
11881,25/01/2024,3860,331.96
7464,01/05/2024,2761,623.7
4310,24/04/2024,7667,554.63
6345,19/07/2024,9492,126.97
14941,19/01/2024,4223,405.58
1442,31/10/2024,310,597.64
110,26/03/2024,1052,439.18
7440,14/03/2024,8138,170.56
805,15/05/2024,8036,902.78
10816,06/08/2024,6084,213.19
12195,20/06/2024,2995,108.56
7022,04/10/2024,998,921.78
10404,06/03/2024,5356,283.22
12598,31/08/2024,4258,67.79
14612,03/11/2024,8720,785.89
8811,27/05/2024,1097,326.87
8843,16/05/2024,8400,751.15
13540,17/05/2024,9881,625.83
1519,05/12/2023,9821,991.71
11963,01/06/2024,5470,20.95
4795,19/11/2023,3559,419.09
1863,26/05/2024,5094,690.08
1971,10/07/2024,5853,855.64
14965,01/12/2023,2213,668.39
4317,14/04/2024,6220,750.78
5192,13/03/2024,1300,390.76
2456,28/09/2024,5090,595.68
4936,25/04/2024,8686,672.59
9314,21/02/2024,9893,210.36
3024,07/08/2024,8657,828.39
3118,28/05/2024,4393,92.9
4403,20/01/2024,6152,307.27
4496,06/01/2024,1376,735.08
12529,20/12/2023,4795,33.26
13304,07/02/2024,5944,487.73
14837,20/08/2024,3253,928.09
5482,14/11/2023,3546,685.78
12167,08/08/2024,8823,228.54
12848,14/11/2023,5591,944.88
6606,15/04/2024,8536,386.82
9355,24/12/2023,9995,166.22
5135,20/11/2023,6566,464.03
7319,30/09/2024,1917,748.08
14058,05/04/2024,9851,974.41
4599,09/07/2024,6552,791.07
5814,25/01/2024,623,458.23
13995,01/04/2024,9198,110.03
2339,22/03/2024,9564,879.59
327,08/02/2024,2286,622.32
3134,03/09/2024,1654,971.61
7228,15/01/2024,3086,723.82
14350,03/04/2024,9389,139.79
5177,28/01/2024,3480,873.1
7399,31/07/2024,5426,35.16
2311,08/09/2024,3405,644.95
3794,04/06/2024,1047,793.91
2973,05/04/2024,9587,439.5
5848,08/07/2024,1312,710.99
10284,09/10/2024,1889,845.49
10102,18/10/2024,4846,714.15
9614,28/12/2023,9646,938.34
7853,28/03/2024,8814,80.33
11068,04/03/2024,2748,871.94
8727,30/11/2023,6452,458.62
8707,29/02/2024,7902,714.42
10390,03/09/2024,2530,583.19
12466,14/08/2024,625,724.06
1046,12/04/2024,6827,871.1
11460,28/12/2023,9681,999.24
13993,09/11/2023,4685,227.35
401,13/08/2024,1226,345.94
14755,06/02/2024,1386,544.75
14238,28/06/2024,4800,700.24
13783,03/06/2024,2604,922.57
1648,15/02/2024,4080,415.32
3217,01/11/2024,9197,248.61
3796,29/07/2024,9484,920.86
2878,16/01/2024,9008,510.55
4772,09/11/2023,4345,96.3
2636,14/09/2024,8097,947.89
3138,17/12/2023,9626,853.41
5540,08/03/2024,4134,596.82
196,18/02/2024,3484,950.76
13368,01/02/2024,549,845.5
4968,16/02/2024,2784,792.98
12931,10/12/2023,9385,253.91
6530,05/09/2024,2298,963.12
3441,31/08/2024,3565,999.09
2819,22/05/2024,1476,770.54
12087,26/03/2024,1273,833.01
4459,02/11/2024,9260,413.03
7489,06/11/2023,1428,566.34
6230,01/03/2024,1193,107.5
10439,11/12/2023,6574,985.22
7715,19/04/2024,4591,921.14
408,26/12/2023,5481,251.99
641,13/10/2024,5270,997.77
550,31/12/2023,376,117.62
13534,26/01/2024,5279,653.17
14375,09/06/2024,8727,344.09
6020,30/12/2023,1029,119.67
4237,08/11/2023,2424,63.74
12907,27/11/2023,4474,906.97
14560,03/04/2024,6675,35.74
12057,23/11/2023,3026,77.34
9730,14/04/2024,2362,955.23
648,12/04/2024,7533,771.42
5466,08/06/2024,3161,491.31
9030,23/11/2023,6564,757.68
14582,06/11/2023,8414,983.83
2245,03/08/2024,6132,944.53
2858,18/06/2024,2489,293.67
11046,17/06/2024,7630,841.68
8100,06/03/2024,7862,669.31
4957,08/07/2024,5013,276.72
2533,10/03/2024,947,790.14
1727,23/03/2024,4886,629.47
13492,19/01/2024,2785,652.59
7752,13/04/2024,2235,944.71
9990,12/08/2024,5066,899.19
11241,10/07/2024,6645,966.61
12372,11/08/2024,4530,492.04
4522,30/01/2024,3280,119.04
4789,12/01/2024,8477,448.96
491,27/01/2024,7898,82.97
9088,22/06/2024,5476,393.27
9099,21/11/2023,9364,304.19
10917,05/06/2024,1370,741.05
2232,07/02/2024,4214,454.32
10234,24/01/2024,4583,553.35
12045,25/01/2024,4079,549.43
8177,07/03/2024,8327,560.13
1891,10/06/2024,2296,193.49
6448,10/01/2024,835,144.68
9173,12/12/2023,5570,934.57
9243,01/02/2024,5248,623.36
9139,14/11/2023,7418,973.56
3970,10/10/2024,8810,92.58
12118,05/10/2024,1903,398.86
9807,02/05/2024,6385,295.21
4299,03/10/2024,2236,32.82
14091,07/02/2024,7653,950.73
235,25/04/2024,8757,67.76
2053,25/08/2024,7373,190.33
12679,19/12/2023,3879,435.27
8027,30/09/2024,1073,95.4
12059,12/11/2023,4751,494.64
10745,29/03/2024,8848,829.15
12212,05/05/2024,7302,996.07
1701,17/10/2024,168,363.61
11402,16/03/2024,1418,298.66
9780,21/12/2023,4287,402.1
1465,05/07/2024,374,258.54
13764,27/07/2024,5866,610.75
13704,03/03/2024,8096,292.3
10280,19/04/2024,6564,562.7
3504,24/09/2024,9695,419.55
14893,26/09/2024,2086,779.18
13974,19/12/2023,9078,406.3
10848,14/02/2024,793,74.79
3480,25/04/2024,4106,281.02
11778,27/09/2024,8319,997.92
13767,15/05/2024,4978,451.07
3168,22/06/2024,5977,434.33
8301,26/07/2024,7956,83.19
9783,06/07/2024,591,685.72
6077,15/04/2024,6838,29.6
3667,18/08/2024,4780,921.81
4112,18/06/2024,6255,306.44
6240,11/04/2024,7507,204.15
73,29/08/2024,4202,892.69
7019,21/01/2024,2945,66.63
7301,24/12/2023,4261,76.79
1686,15/12/2023,4509,438.36
9179,02/08/2024,8822,724.06
13881,23/04/2024,5828,939.8
11071,11/07/2024,6349,471.69
14528,25/10/2024,9084,266.73
3355,17/10/2024,4227,564.12
5915,21/01/2024,6696,292.23
275,17/01/2024,4137,531.5
11960,18/10/2024,4667,103.87
6205,21/03/2024,6421,889.87
8386,04/08/2024,4777,973.1
11955,04/05/2024,2178,58.26
8883,28/01/2024,9148,646.77
10438,24/02/2024,3652,671.62
7619,11/04/2024,8161,267.26
500,17/08/2024,8341,73.13
7198,11/02/2024,7070,57.14
7023,06/09/2024,2768,541.66
5660,29/06/2024,1133,28.56
13674,16/02/2024,1169,36.26
4188,19/11/2023,1137,332.27
14319,04/10/2024,4342,297.23
14267,20/04/2024,1122,885.71
6751,28/04/2024,8443,882.84
12054,29/12/2023,3361,102.48
9465,10/10/2024,5678,24.58
3029,19/07/2024,7284,664.86
798,08/10/2024,3293,827.36
6325,02/01/2024,9048,548.07
2074,17/03/2024,5566,102.35
13526,20/09/2024,6604,450.84
5226,12/04/2024,5699,320.63
10182,14/04/2024,7815,292.74
1732,14/12/2023,7985,914.01
1595,31/10/2024,1847,494.85
1660,04/02/2024,6503,372.86
6204,07/04/2024,676,549.02
195,14/03/2024,6236,821.41
9773,29/10/2024,2601,128.81
5083,14/08/2024,6701,226.17
9705,06/03/2024,9433,526.31
7605,24/10/2024,4840,565.55
10406,13/09/2024,8839,68.84
6232,30/04/2024,5133,524.4
10205,19/04/2024,6102,641.16
9342,01/12/2023,6809,345.35
7299,02/12/2023,8639,439.62
246,25/07/2024,6824,179.11
5189,24/05/2024,2220,24.44
5854,12/09/2024,1356,483.56
5029,23/11/2023,4197,912.06
8809,15/12/2023,9783,366.93
8656,04/01/2024,8779,737.66
11589,01/10/2024,4046,224.3
483,11/08/2024,3240,556.46
1417,25/07/2024,1161,692.27
3529,29/07/2024,2268,64.31
10217,11/05/2024,6815,820.38
1401,01/06/2024,2836,445.58
14780,26/07/2024,4330,941.55
14491,15/05/2024,4032,987.83
9960,01/08/2024,697,909.9
14323,28/09/2024,7813,986.83
932,01/01/2024,1763,458.15
8458,22/04/2024,7890,822.36
7823,09/03/2024,9261,440.72
8393,03/08/2024,2820,105.38
7984,04/02/2024,4105,175.47
3478,02/02/2024,1104,953.38
3485,29/05/2024,1540,144.47
1683,11/08/2024,8043,173.84
404,17/03/2024,8556,843.03
10250,02/11/2024,5435,49.41
4970,22/04/2024,4970,476.72
13791,31/10/2024,9188,405.01
3985,12/09/2024,9600,670.09
4915,11/05/2024,3230,767.83
10082,21/03/2024,6140,92.03
8322,22/08/2024,5039,273.68
4762,26/05/2024,4743,849.85
9180,26/03/2024,4499,787.86
606,07/06/2024,9309,923.72
4856,08/09/2024,4590,888.6
3256,21/02/2024,9409,152.66
4776,14/09/2024,3805,721.28
1410,03/01/2024,6787,892.62
1657,01/12/2023,578,854.44
9541,23/05/2024,4549,340.95
2573,14/10/2024,7210,565.68
255,19/09/2024,6305,413.43
5927,04/08/2024,3691,768.11
12666,18/02/2024,5653,468.79
7180,11/12/2023,2957,987.45
10435,05/03/2024,3259,908.44
12448,29/02/2024,7939,213.64
5592,22/12/2023,951,135.48
5344,21/05/2024,3879,59.44
10345,23/05/2024,3446,217.59
11093,04/09/2024,964,937.96
4829,03/01/2024,6456,476.04
121,07/11/2023,4774,883.89
10372,01/03/2024,6852,907.87
7790,12/01/2024,2122,283.85
857,08/12/2023,2104,36.94
7895,23/07/2024,2928,767.12
3907,30/04/2024,3042,998.53
3453,08/02/2024,5723,240.36
14704,03/05/2024,9310,655.69
4420,06/05/2024,6044,543.42
9516,15/05/2024,8267,205.42
5622,03/02/2024,7527,507.24
12141,25/04/2024,9036,438.76
8999,26/02/2024,3959,305.09
13721,29/10/2024,4511,684.36
13107,27/10/2024,1658,189
4987,23/02/2024,423,181.19
8320,04/07/2024,5487,664.03
784,22/12/2023,9073,133.01
11403,20/02/2024,6774,65.4
11821,04/05/2024,4185,966.03
4469,11/01/2024,6845,225.32
6492,03/01/2024,2087,669.57
13155,22/06/2024,6272,737.9
10687,12/03/2024,2500,509.7
11378,20/08/2024,64,49.48
6374,23/08/2024,9964,520.7
5257,22/02/2024,139,676.87
8660,11/07/2024,3427,456.86
9536,14/08/2024,6247,712.64
4534,15/07/2024,3633,607.74
50,21/07/2024,6894,695.19
8142,12/02/2024,7671,76.69
13282,04/01/2024,3167,842.77
6616,10/11/2023,8594,797.63
4510,25/12/2023,3321,792.1
14833,28/03/2024,911,293.07
278,17/06/2024,2534,530.99
9091,20/10/2024,2295,380.26
3282,17/11/2023,1470,351.74
6511,04/09/2024,3898,468.45
4412,17/08/2024,966,523.27
7604,09/05/2024,1365,917.43
2693,17/06/2024,2325,145.7
2192,28/08/2024,5451,475.27
13113,23/02/2024,3960,369.54
13589,08/01/2024,1011,614.53
7906,17/07/2024,3872,571.6
14198,25/10/2024,2215,20.46
5500,04/05/2024,6383,653.79
8500,27/01/2024,8968,641.3
975,08/10/2024,5812,554.3
2094,28/03/2024,1598,560.43
13717,20/12/2023,5055,753.02
10011,04/09/2024,2613,948.23
5931,25/01/2024,4232,433.39
9385,06/04/2024,5497,798.49
1196,01/11/2024,8547,498.37
10772,14/07/2024,7053,40.72
2309,26/07/2024,557,832.71
8427,02/09/2024,9688,673.49
10910,18/12/2023,6690,922.53
2953,01/02/2024,6657,96.75
3077,02/11/2024,3748,893.46
12690,24/02/2024,1933,437.37
2072,15/02/2024,2640,53.64
4342,14/02/2024,9536,900.52
13872,25/05/2024,4430,280.2
3859,22/10/2024,2399,314.97
9892,16/03/2024,8220,388.97
7809,17/01/2024,9424,63.41
6963,22/10/2024,534,380.76
13632,15/01/2024,4113,255.02
8918,24/07/2024,2947,420.1
5123,20/02/2024,6384,289.13
2940,23/05/2024,9936,809.09
13403,15/05/2024,1353,56.66
10827,08/11/2023,9276,809.72
5646,10/11/2023,8995,888.17
9149,13/07/2024,216,622.5
12082,13/05/2024,2853,279.44
13690,23/11/2023,1445,617.66
5614,31/10/2024,8268,163.57
12682,23/01/2024,5676,517.38
7737,15/04/2024,3088,92.26
13466,09/09/2024,9927,694.35
7458,03/10/2024,6513,283.48
8769,03/01/2024,6001,963.4
13514,25/01/2024,9150,564.2
6582,09/08/2024,1116,942.49
7584,18/06/2024,9021,309.72
13647,08/06/2024,8150,794.94
9206,15/09/2024,6294,940.43
12962,18/05/2024,1619,804.79
5372,02/11/2024,7069,512.12
5352,09/06/2024,9076,826.68
3996,18/01/2024,4326,640
142,14/09/2024,6463,990.41
6617,11/03/2024,4601,811.98
11422,20/02/2024,4356,797
4246,08/08/2024,7173,925.67
2441,02/10/2024,4587,581.08
306,23/01/2024,5254,588.22
3950,10/09/2024,3424,951.6
13207,25/08/2024,7291,942.1
40,20/08/2024,5369,463.28
12174,07/06/2024,5458,805.11
5595,04/09/2024,80,419.01
1606,20/09/2024,2669,839
752,30/06/2024,837,945.52
580,07/03/2024,5148,928.38
11623,13/05/2024,2565,578.2
6526,20/08/2024,3067,674.87
2411,13/05/2024,1335,947.98
7417,15/04/2024,7172,333.46
3692,26/08/2024,8666,358.7
14294,18/05/2024,2068,930.99
11704,24/02/2024,5558,675.91
8196,17/08/2024,1619,416.1
11697,24/05/2024,1493,784.04
3659,25/02/2024,8291,566.69
4224,24/07/2024,8209,872.81
11762,17/05/2024,598,471.71
307,09/09/2024,8538,142.43
5222,18/09/2024,25,58.87
6131,26/08/2024,6357,645.42
13553,17/03/2024,3815,108.23
1236,09/07/2024,3378,513.89
12049,02/01/2024,4509,79.92
12498,27/05/2024,9177,245.74
154,08/07/2024,9086,528.62
10473,06/05/2024,3903,202.52
9978,21/08/2024,4618,888.96
10415,13/11/2023,7708,580.69
4919,01/01/2024,7997,750.57
9980,23/05/2024,2169,58.31
3994,07/11/2023,5959,880
14410,25/08/2024,9124,890.71
1869,18/06/2024,9702,93.04
11030,15/02/2024,9651,319.5
7710,23/03/2024,7222,732.92
372,11/12/2023,6194,696.56
2278,03/01/2024,9578,661.58
1165,23/08/2024,595,930.7
14944,06/01/2024,4239,152.72
5570,27/09/2024,3178,794.58
7616,27/03/2024,7905,584.5
5371,04/05/2024,4017,214.9
8912,29/10/2024,8593,777.46
9928,10/12/2023,4815,388.93
12253,16/08/2024,3349,989.4
187,31/05/2024,1496,817.94
1455,22/11/2023,4490,579.57
13405,19/11/2023,3541,754.34
12450,22/05/2024,2169,418.16
3830,16/02/2024,2531,80.45
5609,22/09/2024,6744,718.9
4730,28/12/2023,8123,850.8
14568,17/01/2024,2171,233.86
2745,30/05/2024,2759,585.95
6087,10/11/2023,9737,592.3
794,30/11/2023,308,493.38
14969,23/12/2023,8611,517.07
8790,14/02/2024,9970,425.7
9296,23/11/2023,8920,805.14
14849,15/05/2024,8301,358.7
7678,23/04/2024,7549,965.69
2132,08/07/2024,3028,74.91
6974,07/07/2024,3141,961.14
11394,17/10/2024,3088,120.23
6721,04/12/2023,6588,76.69
3033,15/10/2024,4703,853.13
9544,13/08/2024,1302,598.57
36,24/03/2024,402,411.69
8194,09/05/2024,2904,993.09
10633,22/10/2024,1674,505.59
4811,29/02/2024,6736,548.48
663,09/10/2024,782,271.69
11640,01/12/2023,6036,32.55
693,15/06/2024,8468,332.11
359,17/04/2024,546,136.46
11412,24/03/2024,4826,160.4
558,10/10/2024,4971,284.07
7836,01/09/2024,336,857.6
3554,22/09/2024,8299,739.5
8451,26/10/2024,9580,932.64
14790,17/06/2024,1541,944.32
11969,10/06/2024,8549,211.82
132,27/09/2024,4460,891.77
7962,16/02/2024,7773,956.85
11106,11/03/2024,8441,873.16
15000,08/01/2024,9490,898.16
10242,04/07/2024,5587,735.05
4407,28/03/2024,9230,567.11
4604,02/07/2024,7209,509.04
4871,11/04/2024,9522,64.37
6318,04/02/2024,2599,268.91
12547,15/12/2023,1700,592.23
11523,07/04/2024,7246,750.22
10877,26/10/2024,3175,236.77
846,14/04/2024,2857,593.59
13939,09/06/2024,8737,371.53
4022,15/02/2024,5693,630.56
14299,11/07/2024,5955,665.27
11714,10/12/2023,6267,227.85
4607,08/12/2023,3446,728.86
2678,06/07/2024,5540,59.99
13604,22/04/2024,8480,842.96
11887,29/08/2024,9342,905.07
11910,30/04/2024,3877,910.97
4817,10/03/2024,6836,71.32
7082,08/07/2024,5714,557.04
12090,16/05/2024,1609,719.63
3874,01/10/2024,6052,516.86
7391,18/08/2024,455,529.33
2898,05/02/2024,7313,883.68
10266,03/06/2024,5340,228.84
2231,02/05/2024,6041,597.5
12191,15/06/2024,8397,866.12
7437,04/03/2024,9181,818.78
11964,29/06/2024,9449,380.08
630,23/08/2024,9650,184.22
4529,10/07/2024,8735,477.11
14050,27/10/2024,4845,141.21
11139,23/12/2023,6296,389.71
10525,14/09/2024,1284,95.12
5902,15/06/2024,8854,576.34
6575,26/06/2024,8329,501.63
7841,10/02/2024,9661,163.91
11576,05/04/2024,9082,641.06
14307,20/08/2024,9289,586.11
3072,05/12/2023,1298,713.13
2610,31/01/2024,9171,988.95
6849,28/03/2024,3314,634.27
2552,07/01/2024,5796,227.42
8956,22/04/2024,9704,952.07
8069,20/04/2024,9594,270.98
3776,20/05/2024,3937,755.7
9015,04/09/2024,5072,764.63
9719,17/05/2024,8437,937.86
1321,19/05/2024,4808,699.66
5651,08/07/2024,3833,349.39
4273,19/09/2024,7488,655.06
