shipment_id,order_id,shipment_date,carrier,tracking_number,delivery_date,shipment_status
1,1,13/10/2024,UPS,TRK344284,14/10/2024,Pending
2,2,27/08/2024,DHL,TRK718398,28/08/2024,Delivered
3,3,23/05/2024,FedEx,TRK161368,31/05/2024,Pending
4,4,06/06/2024,UPS,TRK890181,10/06/2024,Pending
5,5,03/11/2024,DHL,TRK681341,08/11/2024,Delivered
6,6,03/05/2024,FedEx,TRK076623,07/05/2024,Pending
7,7,28/12/2023,UPS,TRK767199,30/12/2023,Delivered
8,8,14/11/2023,DHL,TRK930895,16/11/2023,Delivered
9,9,25/10/2024,FedEx,TRK502345,01/11/2024,Delivered
10,10,09/06/2024,UPS,TRK169754,14/06/2024,Shipped
11,11,06/09/2024,DHL,TRK855233,11/09/2024,Shipped
12,12,11/04/2024,FedEx,TRK974542,13/04/2024,Pending
13,13,08/08/2024,UPS,TRK591371,12/08/2024,Delivered
14,14,23/10/2024,DHL,TRK379731,26/10/2024,Delivered
15,15,21/06/2024,FedEx,TRK043919,29/06/2024,Delivered
16,16,04/05/2024,UPS,TRK936117,10/05/2024,Delivered
17,17,11/08/2024,DHL,TRK566646,13/08/2024,Pending
18,18,24/06/2024,FedEx,TRK650383,01/07/2024,Delivered
19,19,04/09/2024,UPS,TRK551506,09/09/2024,Shipped
20,20,05/01/2024,DHL,TRK460663,12/01/2024,Delivered
21,21,18/10/2024,FedEx,TRK948321,22/10/2024,Delivered
22,22,09/12/2023,UPS,TRK749106,13/12/2023,Delivered
23,23,16/12/2023,DHL,TRK292444,20/12/2023,Shipped
24,24,07/07/2024,FedEx,TRK461401,10/07/2024,Pending
25,25,06/06/2024,UPS,TRK282598,12/06/2024,Pending
26,26,08/07/2024,DHL,TRK357860,14/07/2024,Delivered
27,27,12/07/2024,FedEx,TRK817455,17/07/2024,Cancelled
28,28,15/12/2023,UPS,TRK426322,16/12/2023,Pending
29,29,02/05/2024,DHL,TRK001293,08/05/2024,Pending
30,30,01/08/2024,FedEx,TRK667394,06/08/2024,Shipped
31,31,19/03/2024,UPS,TRK062304,22/03/2024,Pending
32,32,08/08/2024,DHL,TRK192963,13/08/2024,Pending
33,33,24/08/2024,FedEx,TRK801770,27/08/2024,Shipped
34,34,10/02/2024,UPS,TRK056656,16/02/2024,Shipped
35,35,04/04/2024,DHL,TRK286552,08/04/2024,Delivered
36,36,26/03/2024,FedEx,TRK929875,27/03/2024,Shipped
37,37,02/01/2024,UPS,TRK486006,06/01/2024,Shipped
38,38,03/05/2024,DHL,TRK591965,08/05/2024,Delivered
39,39,28/06/2024,FedEx,TRK126053,03/07/2024,Delivered
40,40,23/08/2024,UPS,TRK186660,27/08/2024,Pending
41,41,25/02/2024,DHL,TRK228097,29/02/2024,Delivered
42,42,18/09/2024,FedEx,TRK675562,26/09/2024,Delivered
43,43,13/10/2024,UPS,TRK922507,16/10/2024,Delivered
44,44,08/07/2024,DHL,TRK534190,11/07/2024,Shipped
45,45,02/03/2024,FedEx,TRK119030,04/03/2024,Shipped
46,46,21/08/2024,UPS,TRK392828,25/08/2024,Shipped
47,47,30/12/2023,DHL,TRK235278,31/12/2023,Pending
48,48,22/11/2023,FedEx,TRK170290,28/11/2023,Shipped
49,49,28/03/2024,UPS,TRK772122,01/04/2024,Delivered
50,50,22/07/2024,DHL,TRK159547,24/07/2024,Delivered
51,51,18/05/2024,FedEx,TRK253961,20/05/2024,Pending
52,52,02/06/2024,UPS,TRK802059,10/06/2024,Pending
53,53,04/08/2024,DHL,TRK721030,08/08/2024,Delivered
54,54,30/01/2024,FedEx,TRK310750,06/02/2024,Pending
55,55,20/08/2024,UPS,TRK423161,22/08/2024,Shipped
56,56,04/03/2024,DHL,TRK380369,11/03/2024,Shipped
57,57,28/05/2024,FedEx,TRK329835,31/05/2024,Shipped
58,58,28/06/2024,UPS,TRK418211,29/06/2024,Pending
59,59,05/08/2024,DHL,TRK865810,11/08/2024,Shipped
60,60,02/01/2024,FedEx,TRK873334,07/01/2024,Pending
61,61,11/08/2024,UPS,TRK837901,15/08/2024,Delivered
62,62,08/08/2024,DHL,TRK976835,15/08/2024,Pending
63,63,03/05/2024,FedEx,TRK912221,08/05/2024,Delivered
64,64,12/04/2024,UPS,TRK401740,18/04/2024,Shipped
65,65,05/08/2024,DHL,TRK478481,10/08/2024,Delivered
66,66,24/04/2024,FedEx,TRK398754,28/04/2024,Shipped
67,67,11/07/2024,UPS,TRK696076,16/07/2024,Pending
68,68,18/09/2024,DHL,TRK155411,20/09/2024,Cancelled
69,69,26/01/2024,FedEx,TRK637648,31/01/2024,Delivered
70,70,25/09/2024,UPS,TRK260510,02/10/2024,Delivered
71,71,22/08/2024,DHL,TRK099538,25/08/2024,Pending
72,72,07/01/2024,FedEx,TRK998893,10/01/2024,Cancelled
73,73,02/09/2024,UPS,TRK967359,07/09/2024,Pending
74,74,26/06/2024,DHL,TRK785450,01/07/2024,Delivered
75,75,19/03/2024,FedEx,TRK090974,26/03/2024,Shipped
76,76,22/03/2024,UPS,TRK860615,26/03/2024,Delivered
77,77,13/04/2024,DHL,TRK203526,15/04/2024,Pending
78,78,27/01/2024,FedEx,TRK842985,01/02/2024,Shipped
79,79,09/02/2024,UPS,TRK187667,14/02/2024,Pending
80,80,06/01/2024,DHL,TRK167879,12/01/2024,Pending
81,81,01/02/2024,FedEx,TRK396306,08/02/2024,Shipped
82,82,20/02/2024,UPS,TRK767139,24/02/2024,Shipped
83,83,21/02/2024,DHL,TRK751317,25/02/2024,Delivered
84,84,14/10/2024,FedEx,TRK880506,19/10/2024,Shipped
85,85,11/08/2024,UPS,TRK545163,17/08/2024,Cancelled
86,86,23/07/2024,DHL,TRK685600,26/07/2024,Pending
87,87,23/02/2024,FedEx,TRK416424,27/02/2024,Shipped
88,88,02/08/2024,UPS,TRK329722,05/08/2024,Pending
89,89,17/02/2024,DHL,TRK229007,21/02/2024,Shipped
90,90,26/07/2024,FedEx,TRK027765,03/08/2024,Delivered
91,91,24/01/2024,UPS,TRK146036,30/01/2024,Pending
92,92,21/12/2023,DHL,TRK177076,24/12/2023,Delivered
93,93,05/09/2024,FedEx,TRK901536,11/09/2024,Delivered
94,94,07/05/2024,UPS,TRK858729,10/05/2024,Delivered
95,95,23/08/2024,DHL,TRK309324,26/08/2024,Delivered
96,96,13/07/2024,FedEx,TRK727094,19/07/2024,Pending
97,97,10/06/2024,UPS,TRK516527,18/06/2024,Delivered
98,98,19/09/2024,DHL,TRK299125,25/09/2024,Delivered
99,99,14/07/2024,FedEx,TRK803806,18/07/2024,Pending
100,100,13/01/2024,UPS,TRK972906,16/01/2024,Pending
101,101,05/11/2024,DHL,TRK790609,06/11/2024,Delivered
102,102,29/04/2024,FedEx,TRK353034,06/05/2024,Shipped
